conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6
1	1	1	How	O	O	O	O	O	
1	1	2	's	O	O	O	O	O	
1	1	3	your	O	O	O	O	O	
1	1	4	day	O	O	O	O	O	
1	1	5	going	O	O	O	O	O	
1	1	6	,	O	O	O	O	O	
1	1	7	Ms.	O	O	O	O	O	
1	1	8	Johnson	O	O	O	O	O	
1	1	9	?	O	O	O	O	O	
1	1	10	Anything	O	O	O	O	O	
1	1	11	interesting	O	O	O	O	O	
1	1	12	happening	O	O	O	O	O	
1	1	13	at	O	O	O	O	O	
1	1	14	home	O	O	O	O	O	
1	1	15	?	O	O	O	O	O	
1	2	1	Oh	O	O	O	O	O	
1	2	2	,	O	O	O	O	O	
1	2	3	I	O	O	O	O	O	
1	2	4	actually	O	O	O	O	O	
1	2	5	just	O	O	O	O	O	
1	2	6	finished	O	O	O	O	O	
1	2	7	rearranging	B-event	O	O	O	O	
1	2	8	my	I-event	O	O	O	O	
1	2	9	furniture	I-event	O	O	O	O	
1	2	10	in	O	O	O	O	O	
1	2	11	the	B-place	O	O	O	O	
1	2	12	living	I-place	O	O	O	O	
1	2	13	room	I-place	O	O	O	O	
1	2	14	.	O	O	O	O	O	
1	3	1	When	O	O	O	O	O	
1	3	2	did	O	O	O	O	O	
1	3	3	you	O	O	O	O	O	
1	3	4	find	O	O	O	O	O	
1	3	5	time	O	O	O	O	O	
1	3	6	to	O	O	O	O	O	
1	3	7	do	O	O	O	O	O	
1	3	8	that	O	O	O	O	O	
1	3	9	?	O	O	O	O	O	
1	3	10	Did	O	O	O	O	O	
1	3	11	you	O	O	O	O	O	
1	3	12	move	O	O	O	O	O	
1	3	13	anything	O	O	O	O	O	
1	3	14	else	O	O	O	O	O	
1	3	15	around	O	O	O	O	O	
1	3	16	?	O	O	O	O	O	
1	4	1	I	O	O	O	O	O	
1	4	2	did	O	O	O	O	O	
1	4	3	it	O	O	O	O	O	
1	4	4	earlier	B-time	O	O	O	O	
1	4	5	today	I-time	O	O	O	O	
1	4	6	.	O	O	O	O	O	
1	4	7	Just	O	O	O	O	O	
1	4	8	moved	O	O	O	O	O	
1	4	9	the	O	O	O	O	O	
1	4	10	couch	O	O	O	O	O	
1	4	11	to	O	O	O	O	O	
1	4	12	the	O	O	O	O	O	
1	4	13	other	O	O	O	O	O	
1	4	14	side	O	O	O	O	O	
1	4	15	of	O	O	O	O	O	
1	4	16	the	O	O	O	O	O	
1	4	17	room	O	O	O	O	O	
1	4	18	.	O	O	O	O	O	
1	5	1	Sounds	O	O	O	O	O	
1	5	2	like	O	O	O	O	O	
1	5	3	a	O	O	O	O	O	
1	5	4	good	O	O	O	O	O	
1	5	5	change	O	O	O	O	O	
1	5	6	!	O	O	O	O	O	
1	5	7	Did	O	O	O	O	O	
1	5	8	it	O	O	O	O	O	
1	5	9	take	O	O	O	O	O	
1	5	10	long	O	O	O	O	O	
1	5	11	to	O	O	O	O	O	
1	5	12	complete	O	O	O	O	O	
1	5	13	the	O	O	O	O	O	
1	5	14	rearrangement	O	O	O	O	O	
1	5	15	?	O	O	O	O	O	
1	6	1	Not	O	O	O	O	O	
1	6	2	really	O	O	O	O	O	
1	6	3	,	O	O	O	O	O	
1	6	4	just	O	O	O	O	O	
1	6	5	an	O	O	O	O	O	
1	6	6	hour	O	O	O	O	O	
1	6	7	or	O	O	O	O	O	
1	6	8	so	O	O	O	O	O	
1	6	9	.	O	O	O	O	O	
1	6	10	It	O	O	O	O	O	
1	6	11	feels	O	O	O	O	O	
1	6	12	more	O	O	O	O	O	
1	6	13	spacious	O	O	O	O	O	
1	6	14	now	O	O	O	O	O	
1	6	15	.	O	O	O	O	O	
1	7	1	That	O	O	O	O	O	
1	7	2	's	O	O	O	O	O	
1	7	3	great	O	O	O	O	O	
1	7	4	to	O	O	O	O	O	
1	7	5	hear	O	O	O	O	O	
1	7	6	your	O	O	O	O	O	
1	7	7	efforts	O	O	O	O	O	
1	7	8	paid	O	O	O	O	O	
1	7	9	off	O	O	O	O	O	
1	7	10	!	O	O	O	O	O	
1	7	11	Have	O	O	O	O	O	
1	7	12	you	O	O	O	O	O	
1	7	13	thought	O	O	O	O	O	
1	7	14	about	O	O	O	O	O	
1	7	15	any	O	O	O	O	O	
1	7	16	other	O	O	O	O	O	
1	7	17	changes	O	O	O	O	O	
1	7	18	around	O	O	O	O	O	
1	7	19	the	O	O	O	O	O	
1	7	20	house	O	O	O	O	O	
1	7	21	?	O	O	O	O	O	
1	8	1	I	O	O	O	O	O	
1	8	2	might	O	O	O	O	O	
1	8	3	consider	O	O	O	O	O	
1	8	4	repainting	O	B-event	O	O	O	
1	8	5	the	O	I-event	O	O	O	
1	8	6	walls	O	I-event	O	O	O	
1	8	7	next	O	B-time	O	O	O	
1	8	8	.	O	O	O	O	O	
2	1	1	How	O	O	O	O	O	
2	1	2	's	O	O	O	O	O	
2	1	3	your	O	O	O	O	O	
2	1	4	day	O	O	O	O	O	
2	1	5	been	O	O	O	O	O	
2	1	6	,	O	O	O	O	O	
2	1	7	keeping	O	O	O	O	O	
2	1	8	up	O	O	O	O	O	
2	1	9	with	O	O	O	O	O	
2	1	10	everything	O	O	O	O	O	
2	1	11	at	O	O	O	O	O	
2	1	12	home	O	O	O	O	O	
2	1	13	?	O	O	O	O	O	
2	2	1	I	O	O	O	O	O	
2	2	2	hired	B-event	O	O	O	O	
2	2	3	a	I-event	O	O	O	O	
2	2	4	carpenter	I-event	O	O	O	O	
2	2	5	yesterday	B-time	O	O	O	O	
2	2	6	to	O	O	O	O	O	
2	2	7	fix	O	O	O	O	O	
2	2	8	the	O	O	O	O	O	
2	2	9	staircase	O	O	O	O	O	
2	2	10	that	O	O	O	O	O	
2	2	11	was	O	O	O	O	O	
2	2	12	giving	O	O	O	O	O	
2	2	13	me	O	O	O	O	O	
2	2	14	trouble	O	O	O	O	O	
2	2	15	.	O	O	O	O	O	
2	3	1	That	O	O	O	O	O	
2	3	2	's	O	O	O	O	O	
2	3	3	good	O	O	O	O	O	
2	3	4	to	O	O	O	O	O	
2	3	5	hear	O	O	O	O	O	
2	3	6	!	O	O	O	O	O	
2	3	7	How	O	O	O	O	O	
2	3	8	did	O	O	O	O	O	
2	3	9	you	O	O	O	O	O	
2	3	10	find	O	O	O	O	O	
2	3	11	a	O	O	O	O	O	
2	3	12	reliable	O	O	O	O	O	
2	3	13	carpenter	O	O	O	O	O	
2	3	14	?	O	O	O	O	O	
2	4	1	I	O	O	O	O	O	
2	4	2	asked	O	B-event	O	O	O	
2	4	3	my	O	I-event	O	O	O	
2	4	4	neighbor	O	I-event	O	O	O	
2	4	5	for	O	I-event	O	O	O	
2	4	6	a	O	I-event	O	O	O	
2	4	7	recommendation	O	I-event	O	O	O	
2	4	8	,	O	O	O	O	O	
2	4	9	and	O	O	O	O	O	
2	4	10	he	O	O	O	O	O	
2	4	11	's	O	O	O	O	O	
2	4	12	done	O	O	O	O	O	
2	4	13	a	O	O	O	O	O	
2	4	14	great	O	O	O	O	O	
2	4	15	job	O	O	O	O	O	
2	4	16	so	O	O	O	O	O	
2	4	17	far	O	O	O	O	O	
2	4	18	.	O	O	O	O	O	
2	5	1	Great	O	O	O	O	O	
2	5	2	idea	O	O	O	O	O	
2	5	3	!	O	O	O	O	O	
2	5	4	When	O	O	O	O	O	
2	5	5	did	O	O	O	O	O	
2	5	6	you	O	O	O	O	O	
2	5	7	notice	O	O	O	O	O	
2	5	8	the	O	O	O	O	O	
2	5	9	issue	O	O	O	O	O	
2	5	10	with	O	O	O	O	O	
2	5	11	the	O	O	O	O	O	
2	5	12	staircase	O	O	O	O	O	
2	5	13	?	O	O	O	O	O	
2	6	1	It	O	O	O	O	O	
2	6	2	started	O	O	O	O	O	
2	6	3	creaking	O	O	O	O	O	
2	6	4	last	O	O	B-time	O	O	
2	6	5	week	O	O	I-time	O	O	
2	6	6	when	O	O	O	O	O	
2	6	7	I	O	O	O	O	O	
2	6	8	had	O	O	B-event	O	O	
2	6	9	guests	O	O	I-event	O	O	
2	6	10	over	O	O	I-event	O	O	
2	6	11	,	O	O	O	O	O	
2	6	12	so	O	O	O	O	O	
2	6	13	I	O	O	O	O	O	
2	6	14	knew	O	O	O	O	O	
2	6	15	it	O	O	O	O	O	
2	6	16	needed	O	O	O	O	O	
2	6	17	attention	O	O	O	O	O	
2	6	18	.	O	O	O	O	O	
2	7	1	Sounds	O	O	O	O	O	
2	7	2	like	O	O	O	O	O	
2	7	3	a	O	O	O	O	O	
2	7	4	smart	O	O	O	O	O	
2	7	5	decision	O	O	O	O	O	
2	7	6	to	O	O	O	O	O	
2	7	7	have	O	O	O	O	O	
2	7	8	it	O	O	O	O	O	
2	7	9	fixed	O	O	O	O	O	
2	7	10	promptly	O	O	O	O	O	
2	7	11	.	O	O	O	O	O	
2	7	12	What	O	O	O	O	O	
2	7	13	's	O	O	O	O	O	
2	7	14	next	O	O	O	O	O	
2	7	15	on	O	O	O	O	O	
2	7	16	your	O	O	O	O	O	
2	7	17	to	O	O	O	O	O	
2	7	18	-	O	O	O	O	O	
2	7	19	do	O	O	O	O	O	
2	7	20	list	O	O	O	O	O	
2	7	21	?	O	O	O	O	O	
2	8	1	I	O	O	O	O	O	
2	8	2	'm	O	O	O	O	O	
2	8	3	planning	O	O	O	B-event	O	
2	8	4	to	O	O	O	I-event	O	
2	8	5	repaint	O	O	O	I-event	O	
2	8	6	the	O	O	O	I-event	O	
2	8	7	living	O	O	O	I-event	O	
2	8	8	room	O	O	O	I-event	O	
2	8	9	next	O	O	O	B-time	O	
2	8	10	,	O	O	O	O	O	
2	8	11	it	O	O	O	O	O	
2	8	12	's	O	O	O	O	O	
2	8	13	been	O	O	O	O	O	
2	8	14	on	O	O	O	O	O	
2	8	15	my	O	O	O	O	O	
2	8	16	mind	O	O	O	O	O	
2	8	17	for	O	O	O	O	O	
2	8	18	a	O	O	O	O	O	
2	8	19	while	O	O	O	O	O	
3	1	1	How	O	O	O	O	O	
3	1	2	has	O	O	O	O	O	
3	1	3	your	O	O	O	O	O	
3	1	4	day	O	O	O	O	O	
3	1	5	been	O	O	O	O	O	
3	1	6	so	O	O	O	O	O	
3	1	7	far	O	O	O	O	O	
3	1	8	?	O	O	O	O	O	
3	2	1	I	O	O	O	O	O	
3	2	2	've	O	O	O	O	O	
3	2	3	been	O	O	O	O	O	
3	2	4	quite	O	O	O	O	O	
3	2	5	busy	O	O	O	O	O	
3	2	6	today	O	O	O	O	O	
3	2	7	,	O	O	O	O	O	
3	2	8	reorganizing	B-event	O	O	O	O	
3	2	9	my	I-event	O	O	O	O	
3	2	10	kitchen	I-event	O	O	O	O	
3	2	11	cabinets	I-event	O	O	O	O	
3	2	12	.	O	O	O	O	O	
3	3	1	Oh	O	O	O	O	O	
3	3	2	,	O	O	O	O	O	
3	3	3	that	O	O	O	O	O	
