conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7	event8
1	1	1	How	O	O	O	O	O			
1	1	2	was	O	O	O	O	O			
1	1	3	your	O	O	O	O	O			
1	1	4	day	O	O	O	O	O			
1	1	5	,	O	O	O	O	O			
1	1	6	did	O	O	O	O	O			
1	1	7	anything	O	O	O	O	O			
1	1	8	special	O	O	O	O	O			
1	1	9	happen	O	O	O	O	O			
1	1	10	at	O	O	O	O	O			
1	1	11	your	O	O	O	O	O			
1	1	12	home	O	O	O	O	O			
1	1	13	?	O	O	O	O	O			
1	2	1	My	O	O	O	O	O			
1	2	2	granddaughter	B-participants	O	O	O	O			
1	2	3	visited	O	O	O	O	O			
1	2	4	today	B-time	O	O	O	O			
1	2	5	,	O	O	O	O	O			
1	2	6	and	O	O	O	O	O			
1	2	7	we	O	O	O	O	O			
1	2	8	baked	B-event	O	O	O	O			
1	2	9	cookies	I-event	O	O	O	O			
1	2	10	together	O	O	O	O	O			
1	2	11	.	O	O	O	O	O			
1	3	1	That	O	O	O	O	O			
1	3	2	sounds	O	O	O	O	O			
1	3	3	lovely	O	O	O	O	O			
1	3	4	!	O	O	O	O	O			
1	3	5	When	O	O	O	O	O			
1	3	6	is	O	O	O	O	O			
1	3	7	the	O	O	O	O	O			
1	3	8	last	O	O	O	O	O			
1	3	9	time	O	O	O	O	O			
1	3	10	you	O	O	O	O	O			
1	3	11	baked	O	O	O	O	O			
1	3	12	together	O	O	O	O	O			
1	3	13	?	O	O	O	O	O			
1	4	1	It	O	O	O	O	O			
1	4	2	’s	O	O	O	O	O			
1	4	3	been	O	O	O	O	O			
1	4	4	quite	O	O	O	O	O			
1	4	5	a	O	O	O	O	O			
1	4	6	while	O	O	O	O	O			
1	4	7	,	O	O	O	O	O			
1	4	8	maybe	O	O	O	O	O			
1	4	9	a	O	O	O	O	O			
1	4	10	couple	O	O	O	O	O			
1	4	11	of	O	O	O	O	O			
1	4	12	months	O	O	O	O	O			
1	4	13	ago	O	O	O	O	O			
1	4	14	.	O	O	O	O	O			
1	5	1	It	O	O	O	O	O			
1	5	2	must	O	O	O	O	O			
1	5	3	be	O	O	O	O	O			
1	5	4	nice	O	O	O	O	O			
1	5	5	spending	O	O	O	O	O			
1	5	6	time	O	O	O	O	O			
1	5	7	together	O	O	O	O	O			
1	5	8	like	O	O	O	O	O			
1	5	9	that	O	O	O	O	O			
1	5	10	.	O	O	O	O	O			
1	5	11	How	O	O	O	O	O			
1	5	12	did	O	O	O	O	O			
1	5	13	it	O	O	O	O	O			
1	5	14	go	O	O	O	O	O			
1	5	15	?	O	O	O	O	O			
1	6	1	It	O	O	O	O	O			
1	6	2	was	O	O	O	O	O			
1	6	3	great	O	O	O	O	O			
1	6	4	fun	O	O	O	O	O			
1	6	5	.	O	O	O	O	O			
1	6	6	She	O	O	O	O	O			
1	6	7	's	O	O	O	O	O			
1	6	8	a	O	O	O	O	O			
1	6	9	natural	O	O	O	O	O			
1	6	10	chef	O	O	O	O	O			
1	6	11	and	O	O	O	O	O			
1	6	12	we	O	O	O	O	O			
1	6	13	had	O	O	O	O	O			
1	6	14	a	O	O	O	O	O			
1	6	15	wonderful	O	O	O	O	O			
1	6	16	time	O	O	O	O	O			
1	6	17	.	O	O	O	O	O			
1	7	1	It	O	O	O	O	O			
1	7	2	must	O	O	O	O	O			
1	7	3	have	O	O	O	O	O			
1	7	4	brought	O	O	O	O	O			
1	7	5	back	O	O	O	O	O			
1	7	6	memories	O	O	O	O	O			
1	7	7	of	O	O	O	O	O			
1	7	8	baking	O	O	O	O	O			
1	7	9	with	O	O	O	O	O			
1	7	10	your	O	O	O	O	O			
1	7	11	own	O	O	O	O	O			
1	7	12	kids	O	O	O	O	O			
1	7	13	.	O	O	O	O	O			
1	8	1	Yes	O	O	O	O	O			
1	8	2	,	O	O	O	O	O			
1	8	3	it	O	O	O	O	O			
1	8	4	did	O	O	O	O	O			
1	8	5	.	O	O	O	O	O			
1	8	6	I	O	O	O	O	O			
1	8	7	love	O	O	O	O	O			
1	8	8	passing	O	O	O	O	O			
1	8	9	down	O	O	O	O	O			
1	8	10	our	O	O	O	O	O			
1	8	11	family	O	O	O	O	O			
1	8	12	recipes	O	O	O	O	O			
1	8	13	to	O	O	O	O	O			
