conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7
1	1	1	How	O	O	O	O	O		
1	1	2	often	O	O	O	O	O		
1	1	3	do	O	O	O	O	O		
1	1	4	you	O	O	O	O	O		
1	1	5	cook	B-event	O	O	O	O		
1	1	6	meals	I-event	O	O	O	O		
1	1	7	at	O	O	O	O	O		
1	1	8	home	B-place	O	O	O	O		
1	1	9	?	O	O	O	O	O		
1	2	1	I	O	O	O	O	O		
1	2	2	usually	O	O	O	O	O		
1	2	3	cook	O	O	O	O	O		
1	2	4	meals	O	O	O	O	O		
1	2	5	for	O	O	O	O	O		
1	2	6	myself	B-participants	O	O	O	O		
1	2	7	every	B-time	O	O	O	O		
1	2	8	evening	I-time	O	O	O	O		
1	2	9	.	O	O	O	O	O		
1	3	1	What	O	O	O	O	O		
1	3	2	is	O	O	O	O	O		
1	3	3	your	O	O	O	O	O		
1	3	4	favorite	O	O	O	O	O		
1	3	5	dish	O	O	O	O	O		
1	3	6	to	O	O	O	O	O		
1	3	7	prepare	O	O	O	O	O		
1	3	8	?	O	O	O	O	O		
1	4	1	I	O	O	O	O	O		
1	4	2	enjoy	O	O	O	O	O		
1	4	3	making	O	O	O	O	O		
1	4	4	a	O	O	O	O	O		
1	4	5	simple	O	O	O	O	O		
1	4	6	pasta	O	O	O	O	O		
1	4	7	dish	O	O	O	O	O		
1	4	8	with	O	O	O	O	O		
1	4	9	homemade	O	O	O	O	O		
1	4	10	tomato	O	O	O	O	O		
1	4	11	sauce	O	O	O	O	O		
1	4	12	.	O	O	O	O	O		
1	5	1	Do	O	O	O	O	O		
1	5	2	you	O	O	O	O	O		
1	5	3	also	O	O	O	O	O		
1	5	4	enjoy	O	O	O	O	O		
1	5	5	baking	O	O	O	O	O		
1	5	6	?	O	O	O	O	O		
1	6	1	Yes	O	O	O	O	O		
1	6	2	,	O	O	O	O	O		
1	6	3	I	O	O	O	O	O		
1	6	4	like	O	O	O	O	O		
1	6	5	baking	O	B-event	O	O	O		
1	6	6	cookies	O	I-event	O	O	O		
1	6	7	and	O	I-event	O	O	O		
1	6	8	cakes	O	I-event	O	O	O		
1	6	9	during	O	B-time	O	O	O		
1	6	10	the	O	I-time	O	O	O		
1	6	11	weekends	O	I-time	O	O	O		
1	6	12	.	O	O	O	O	O		
1	7	1	How	O	O	O	O	O		
1	7	2	do	O	O	O	O	O		
1	7	3	you	O	O	O	O	O		
1	7	4	prefer	O	O	O	O	O		
1	7	5	to	O	O	O	O	O		
1	7	6	organize	O	O	O	O	O		
1	7	7	your	O	O	O	O	O		
1	7	8	kitchen	O	O	O	O	O		
1	7	9	?	O	O	O	O	O		
1	8	1	I	O	O	O	O	O		
1	8	2	keep	O	O	O	O	O		
1	8	3	my	O	O	O	O	O		
1	8	4	spices	O	O	O	O	O		
1	8	5	on	O	O	O	O	O		
1	8	6	a	O	O	O	O	O		
1	8	7	spice	O	O	O	O	O		
1	8	8	rack	O	O	O	O	O		
1	8	9	and	O	O	O	O	O		
1	8	10	utensils	O	O	O	O	O		
1	8	11	in	O	O	O	O	O		
1	8	12	labeled	O	O	O	O	O		
1	8	13	drawers	O	O	O	O	O		
1	8	14	.	O	O	O	O	O		
1	9	1	That	O	O	O	O	O		
1	9	2	sounds	O	O	O	O	O		
1	9	3	organized	O	O	O	O	O		
1	9	4	!	O	O	O	O	O		
1	9	5	Do	O	O	O	O	O		
1	9	6	you	O	O	O	O	O		
1	9	7	have	O	O	O	O	O		
1	9	8	a	O	O	O	O	O		
1	9	9	specific	O	O	O	O	O		
1	9	10	routine	O	O	O	O	O		
1	9	11	for	O	O	O	O	O		
1	9	12	washing	O	O	O	O	O		
1	9	13	dishes	O	O	O	O	O		
1	9	14	?	O	O	O	O	O		
1	10	1	Yes	O	O	O	O	O		
1	10	2	,	O	O	O	O	O		
1	10	3	I	O	O	O	O	O		
1	10	4	prefer	O	O	O	O	O		
1	10	5	washing	O	O	B-event	O	O		
1	10	6	dishes	O	O	I-event	O	O		
1	10	7	by	O	O	O	O	O		
1	10	8	hand	O	O	O	O	O		
1	10	9	after	O	O	B-time	O	O		
1	10	10	every	O	O	I-time	O	O		
1	10	11	meal	O	O	I-time	O	O		
1	10	12	to	O	O	O	O	O		
1	10	13	keep	O	O	O	O	O		
1	10	14	the	O	O	O	O	O		
1	10	15	kitchen	O	O	B-place	O	O		
1	10	16	clean	O	O	O	O	O		
1	10	17	.	O	O	O	O	O		
2	1	1	How	O	O	O	O	O		
2	1	2	was	O	O	O	O	O		
2	1	3	your	O	O	O	O	O		
2	1	4	day	O	O	O	O	O		
2	1	5	,	O	O	O	O	O		
2	1	6	Mrs.	O	O	O	O	O		
2	1	7	Thompson	O	O	O	O	O		
2	1	8	?	O	O	O	O	O		
2	2	1	It	O	O	O	O	O		
2	2	2	was	O	O	O	O	O		
2	2	3	quite	O	O	O	O	O		
2	2	4	busy	O	O	O	O	O		
2	2	5	.	O	O	O	O	O		
2	2	6	Just	O	O	O	O	O		
2	2	7	finished	B-event	O	O	O	O		
2	2	8	preparing	I-event	O	O	O	O		
2	2	9	a	I-event	O	O	O	O		
2	2	10	big	I-event	O	O	O	O		
2	2	11	family	I-event	O	O	O	O		
2	2	12	dinner	I-event	O	O	O	O		
2	2	13	.	O	O	O	O	O		
2	3	1	Oh	O	O	O	O	O		
2	3	2	,	O	O	O	O	O		
2	3	3	that	O	O	O	O	O		
2	3	4	sounds	O	O	O	O	O		
2	3	5	like	O	O	O	O	O		
2	3	6	a	O	O	O	O	O		
2	3	7	lot	O	O	O	O	O		
2	3	8	of	O	O	O	O	O		
2	3	9	work	O	O	O	O	O		
2	3	10	!	O	O	O	O	O		
2	3	11	When	O	O	O	O	O		
2	3	12	do	O	O	O	O	O		
2	3	13	you	O	O	O	O	O		
2	3	14	usually	O	O	O	O	O		
2	3	15	start	O	O	O	O	O		
2	3	16	cooking	O	O	O	O	O		
2	3	17	?	O	O	O	O	O		
2	4	1	Usually	O	O	O	O	O		
2	4	2	around	B-time	O	O	O	O		
2	4	3	midday	I-time	O	O	O	O		
2	4	4	to	O	O	O	O	O		
2	4	5	have	O	O	O	O	O		
2	4	6	everything	O	O	O	O	O		
2	4	7	ready	O	O	O	O	O		
2	4	8	by	O	O	O	O	O		
2	4	9	dinner	O	O	O	O	O		
2	4	10	time	O	O	O	O	O		
2	4	11	.	O	O	O	O	O		
2	5	1	What	O	O	O	O	O		
2	5	2	did	O	O	O	O	O		
2	5	3	you	O	O	O	O	O		
2	5	4	cook	O	O	O	O	O		
2	5	5	for	O	O	O	O	O		
2	5	6	today	O	O	O	O	O		
2	5	7	's	O	O	O	O	O		
2	5	8	dinner	O	O	O	O	O		
2	5	9	?	O	O	O	O	O		
2	6	1	I	O	O	O	O	O		
2	6	2	made	O	B-event	O	O	O		
2	6	3	roasted	O	I-event	O	O	O		
2	6	4	chicken	O	I-event	O	O	O		
2	6	5	,	O	I-event	O	O	O		
2	6	6	mashed	O	I-event	O	O	O		
2	6	7	potatoes	O	I-event	O	O	O		
2	6	8	,	O	I-event	O	O	O		
2	6	9	and	O	I-event	O	O	O		
2	6	10	some	O	I-event	O	O	O		
2	6	11	greens	O	I-event	O	O	O		
2	6	12	.	O	I-event	O	O	O		
2	7	1	Sounds	O	O	O	O	O		
2	7	2	delicious	O	O	O	O	O		
2	7	3	!	O	O	O	O	O		
2	7	4	How	O	O	O	O	O		
2	7	5	do	O	O	O	O	O		
2	7	6	you	O	O	O	O	O		
2	7	7	manage	O	O	O	O	O		
2	7	8	to	O	O	O	O	O		
2	7	9	make	O	O	O	O	O		
2	7	10	such	O	O	O	O	O		
2	7	11	a	O	O	O	O	O		
2	7	12	big	O	O	O	O	O		
2	7	13	meal	O	O	O	O	O		
2	7	14	?	O	O	O	O	O		
2	8	1	I	O	O	O	O	O		
2	8	2	prepare	O	O	B-event	O	O		
2	8	3	a	O	O	I-event	O	O		
2	8	4	menu	O	O	I-event	O	O		
2	8	5	the	O	O	I-event	O	O		
2	8	6	night	O	O	I-event	O	O		
2	8	7	before	O	O	I-time	O	O		
2	8	8	and	O	O	O	O	O		
2	8	9	start	O	O	O	O	O		
2	8	10	with	O	O	O	O	O		
2	8	11	tasks	O	O	O	O	O		
2	8	12	that	O	O	O	O	O		
2	8	13	can	O	O	O	O	O		
2	8	14	be	O	O	O	O	O		
2	8	15	done	O	O	O	O	O		
2	8	16	ahead	O	O	O	O	O		
2	8	17	of	O	O	O	O	O		
