conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7	event8	event9
1	1	1	How	O	O	O	O	O				
1	1	2	often	O	O	O	O	O				
1	1	3	do	O	O	O	O	O				
1	1	4	you	O	O	O	O	O				
1	1	5	water	B-event	O	O	O	O				
1	1	6	your	I-event	O	O	O	O				
1	1	7	plants	I-event	O	O	O	O				
1	1	8	in	O	O	O	O	O				
1	1	9	the	B-place	O	O	O	O				
1	1	10	garden	I-place	O	O	O	O				
1	1	11	,	O	O	O	O	O				
1	1	12	Mrs.	O	O	O	O	O				
1	1	13	Smith	O	O	O	O	O				
1	1	14	?	O	O	O	O	O				
1	2	1	Oh	O	O	O	O	O				
1	2	2	,	O	O	O	O	O				
1	2	3	I	O	O	O	O	O				
1	2	4	water	O	O	O	O	O				
1	2	5	them	O	O	O	O	O				
1	2	6	twice	B-time	O	O	O	O				
1	2	7	a	I-time	O	O	O	O				
1	2	8	week	I-time	O	O	O	O				
1	2	9	,	O	O	O	O	O				
1	2	10	on	I-time	O	O	O	O				
1	2	11	Mondays	I-time	O	O	O	O				
1	2	12	and	I-time	O	O	O	O				
1	2	13	Thursdays	I-time	O	O	O	O				
1	2	14	.	O	O	O	O	O				
1	3	1	Do	O	O	O	O	O				
1	3	2	you	O	O	O	O	O				
1	3	3	enjoy	O	O	O	O	O				
1	3	4	gardening	O	O	O	O	O				
1	3	5	and	O	O	O	O	O				
1	3	6	taking	O	O	O	O	O				
1	3	7	care	O	O	O	O	O				
1	3	8	of	O	O	O	O	O				
1	3	9	plants	O	O	O	O	O				
1	3	10	?	O	O	O	O	O				
1	4	1	Yes	O	O	O	O	O				
1	4	2	,	O	O	O	O	O				
1	4	3	it	O	O	O	O	O				
1	4	4	's	O	O	O	O	O				
1	4	5	my	O	O	O	O	O				
1	4	6	favorite	O	O	O	O	O				
1	4	7	activity	O	O	O	O	O				
1	4	8	.	O	O	O	O	O				
1	4	9	It	O	O	O	O	O				
1	4	10	keeps	O	O	O	O	O				
1	4	11	me	O	O	O	O	O				
1	4	12	active	O	O	O	O	O				
1	4	13	and	O	O	O	O	O				
1	4	14	the	O	O	O	O	O				
1	4	15	plants	O	O	O	O	O				
1	4	16	make	O	O	O	O	O				
1	4	17	the	O	O	O	O	O				
1	4	18	garden	O	O	O	O	O				
1	4	19	so	O	O	O	O	O				
1	4	20	lively	O	O	O	O	O				
1	4	21	.	O	O	O	O	O				
2	1	1	How	O	O	O	O	O				
2	1	2	often	O	O	O	O	O				
2	1	3	do	O	O	O	O	O				
2	1	4	you	O	O	O	O	O				
2	1	5	water	B-event	O	O	O	O				
2	1	6	the	O	O	O	O	O				
2	1	7	plants	I-event	O	O	O	O				
2	1	8	in	O	O	O	O	O				
2	1	9	your	O	O	O	O	O				
2	1	10	garden	B-place	O	O	O	O				
2	1	11	?	O	O	O	O	O				
2	2	1	I	O	O	O	O	O				
2	2	2	water	O	O	O	O	O				
2	2	3	them	O	O	O	O	O				
2	2	4	every	B-time	O	O	O	O				
2	2	5	morning	I-time	O	O	O	O				
2	2	6	before	I-time	O	O	O	O				
2	2	7	breakfast	I-time	O	O	O	O				
2	2	8	.	O	O	O	O	O				
2	3	1	Do	O	O	O	O	O				
2	3	2	you	O	O	O	O	O				
2	3	3	prefer	O	O	O	O	O				
2	3	4	to	O	O	O	O	O				
2	3	5	cook	O	O	O	O	O				
2	3	6	dinner	O	O	O	O	O				
2	3	7	for	O	O	O	O	O				
2	3	8	yourself	O	O	O	O	O				
2	3	9	or	O	O	O	O	O				
2	3	10	order	O	O	O	O	O				
2	3	11	takeout	O	O	O	O	O				
2	3	12	?	O	O	O	O	O				
2	4	1	I	O	O	O	O	O				
2	4	2	enjoy	O	O	O	O	O				
2	4	3	cooking	O	B-event	O	O	O				
2	4	4	and	O	I-event	O	O	O				
2	4	5	preparing	O	I-event	O	O	O				
2	4	6	the	O	I-event	O	O	O				
2	4	7	meals	O	I-event	O	O	O				
2	4	8	from	O	I-event	O	O	O				
2	4	9	scratch	O	I-event	O	O	O				
2	4	10	.	O	O	O	O	O				
2	5	1	When	O	O	O	O	O				
2	5	2	was	O	O	O	O	O				
2	5	3	the	O	O	O	O	O				
2	5	4	last	O	O	O	O	O				
2	5	5	time	O	O	O	O	O				
2	5	6	you	O	O	O	O	O				
2	5	7	did	O	O	O	O	O				
2	5	8	some	O	O	O	O	O				
2	5	9	home	O	O	O	O	O				
2	5	10	repairs	O	O	O	O	O				
2	5	11	?	O	O	O	O	O				
2	6	1	Just	O	O	B-time	O	O				
2	6	2	last	O	O	I-time	O	O				
2	6	3	week	O	O	I-time	O	O				
2	6	4	,	O	O	O	O	O				
2	6	5	I	O	O	O	O	O				
2	6	6	fixed	O	O	B-event	O	O				
2	6	7	a	O	O	I-event	O	O				
2	6	8	leaky	O	O	I-event	O	O				
2	6	9	faucet	O	O	I-event	O	O				
2	6	10	in	O	O	O	O	O				
2	6	11	the	O	O	O	O	O				
2	6	12	bathroom	O	O	B-place	O	O				
2	6	13	.	O	O	O	O	O				
2	7	1	How	O	O	O	O	O				
2	7	2	do	O	O	O	O	O				
2	7	3	you	O	O	O	O	O				
2	7	4	maintain	O	O	O	O	O				
2	7	5	a	O	O	O	O	O				
2	7	6	clean	O	O	O	O	O				
2	7	7	living	O	O	O	O	O				
2	7	8	space	O	O	O	O	O				
2	7	9	?	O	O	O	O	O				
2	8	1	I	O	O	O	O	O				
2	8	2	like	O	O	O	O	O				
2	8	3	to	O	O	O	O	O				
2	8	4	tidy	O	O	O	B-event	O				
2	8	5	up	O	O	O	I-event	O				
2	8	6	each	O	O	O	I-event	O				
2	8	7	room	O	O	O	I-event	O				
2	8	8	daily	O	O	O	I-event	O				
2	8	9	and	O	O	O	O	O				
2	8	10	do	O	O	O	I-event	O				
2	8	11	a	O	O	O	I-event	O				
2	8	12	deep	O	O	O	I-event	O				
2	8	13	cleaning	O	O	O	I-event	O				
2	8	14	on	O	O	O	I-time	O				
2	8	15	weekends	O	O	O	I-time	O				
2	8	16	.	O	O	O	O	O				
2	9	1	Who	O	O	O	O	O				
2	9	2	do	O	O	O	O	O				
2	9	3	you	O	O	O	O	O				
2	9	4	turn	O	O	O	O	O				
2	9	5	to	O	O	O	O	O				
2	9	6	for	O	O	O	O	O				
2	9	7	help	O	O	O	O	O				
2	9	8	around	O	O	O	O	O				
2	9	9	the	O	O	O	O	O				
2	9	10	house	O	O	O	O	O				
2	9	11	?	O	O	O	O	O				
2	10	1	I	O	O	O	O	O				
2	10	2	always	O	O	O	O	O				
2	10	3	rely	O	O	O	O	B-event				
2	10	4	on	O	O	O	O	I-event				
2	10	5	my	O	O	O	O	I-event				
2	10	6	granddaughter	O	O	O	O	I-event				
2	10	7	whenever	O	O	O	O	I-event				
2	10	8	I	O	O	O	O	I-event				
2	10	9	need	O	O	O	O	I-event				
2	10	10	a	O	O	O	O	I-event				
2	10	11	hand	O	O	O	O	I-event				
2	10	12	with	O	O	O	O	I-event				
2	10	13	anything	O	O	O	O	I-event				
2	10	14	heavy	O	O	O	O	I-event				
2	10	15	.	O	O	O	O	I-event				
2	11	1	What	O	O	O	O	O				
2	11	2	's	O	O	O	O	O				
2	11	3	the	O	O	O	O	O				
2	11	4	most	O	O	O	O	O				
2	11	5	rewarding	O	O	O	O	O				
3	1	1	How	O	O	O	O	O				
3	1	2	often	O	O	O	O	O				
3	1	3	do	O	O	O	O	O				
3	1	4	you	O	O	O	O	O				
3	1	5	water	B-event	O	O	O	O				
3	1	6	your	I-event	O	O	O	O				
3	1	7	plants	I-event	O	O	O	O				
3	1	8	,	O	O	O	O	O				
3	1	9	Mrs.	O	O	O	O	O				
3	1	10	Jenkins	O	O	O	O	O				
3	1	11	?	O	O	O	O	O				
3	2	1	Oh	O	O	O	O	O				
3	2	2	,	O	O	O	O	O				
3	2	3	I	O	O	O	O	O				
3	2	4	make	O	O	O	O	O				
3	2	5	sure	O	O	O	O	O				
3	2	6	to	O	O	O	O	O				
3	2	7	water	O	O	O	O	O				
3	2	8	them	O	O	O	O	O				
3	2	9	every	B-time	O	O	O	O				
3	2	10	morning	I-time	O	O	O	O				
3	2	11	.	O	O	O	O	O				
3	3	1	That	O	O	O	O	O				
3	3	2	's	O	O	O	O	O				
3	3	3	great	O	O	O	O	O				
3	3	4	!	O	O	O	O	O				
3	3	5	Do	O	O	O	O	O				
3	3	6	you	O	O	O	O	O				
3	3	7	have	O	O	O	O	O				
3	3	8	any	O	O	O	O	O				
