conversation	sent_id	token_id	token	event1	event2	event3	event4	event5
1	1	1	Do	O	O	O	O	O
1	1	2	you	O	O	O	O	O
1	1	3	still	O	O	O	O	O
1	1	4	enjoy	O	O	O	O	O
1	1	5	your	O	O	O	O	O
1	1	6	daily	B-event	O	O	O	O
1	1	7	walks	I-event	O	O	O	O
1	1	8	in	O	O	O	O	O
1	1	9	the	B-place	O	O	O	O
1	1	10	park	I-place	O	O	O	O
1	1	11	?	O	O	O	O	O
1	2	1	Oh	O	O	O	O	O
1	2	2	,	O	O	O	O	O
1	2	3	I	O	O	O	O	O
1	2	4	cherish	O	O	O	O	O
1	2	5	my	O	O	O	O	O
1	2	6	morning	O	B-event	O	O	O
1	2	7	walks	O	I-event	O	O	O
1	2	8	,	O	O	O	O	O
1	2	9	helps	O	O	O	O	O
1	2	10	me	O	O	O	O	O
1	2	11	stay	O	O	O	O	O
1	2	12	active	O	O	O	O	O
1	2	13	and	O	O	O	O	O
1	2	14	energized	O	O	O	O	O
1	2	15	.	O	O	O	O	O
1	3	1	That	O	O	O	O	O
1	3	2	's	O	O	O	O	O
1	3	3	wonderful	O	O	O	O	O
1	3	4	!	O	O	O	O	O
1	3	5	How	O	O	O	O	O
1	3	6	do	O	O	O	O	O
1	3	7	you	O	O	O	O	O
1	3	8	find	O	O	O	O	O
1	3	9	getting	O	O	O	O	O
1	3	10	around	O	O	O	O	O
1	3	11	the	O	O	O	O	O
1	3	12	neighborhood	O	O	B-place	O	O
1	3	13	these	O	O	B-time	O	O
1	3	14	days	O	O	I-time	O	O
1	3	15	?	O	O	O	O	O
1	4	1	With	O	O	O	O	O
1	4	2	my	O	O	O	O	O
1	4	3	trusty	O	O	O	O	O
1	4	4	old	O	O	O	O	O
1	4	5	bicycle	O	O	O	O	O
1	4	6	,	O	O	O	O	O
1	4	7	I	O	O	O	O	O
1	4	8	can	O	O	O	O	O
1	4	9	move	O	O	B-event	O	O
1	4	10	freely	O	O	I-event	O	O
1	4	11	and	O	O	I-event	O	O
1	4	12	independently	O	O	I-event	O	O
1	4	13	.	O	O	O	O	O
1	5	1	Impressive	O	O	O	O	O
1	5	2	!	O	O	O	O	O
1	5	3	When	O	O	O	O	O
1	5	4	was	O	O	O	O	O
1	5	5	the	O	O	O	O	O
1	5	6	last	O	O	O	O	O
1	5	7	time	O	O	O	O	O
1	5	8	you	O	O	O	O	O
1	5	9	went	O	O	O	O	O
1	5	10	on	O	O	O	O	O
1	5	11	a	O	O	O	O	O
1	5	12	trip	O	O	O	O	O
1	5	13	farther	O	O	O	O	O
1	5	14	away	O	O	O	O	O
1	5	15	from	O	O	O	O	O
1	5	16	home	O	O	O	O	O
1	5	17	?	O	O	O	O	O
1	6	1	Just	O	O	O	O	O
1	6	2	a	O	O	O	B-time	O
1	6	3	few	O	O	O	I-time	O
1	6	4	weeks	O	O	O	I-time	O
1	6	5	ago	O	O	O	I-time	O
1	6	6	,	O	O	O	O	O
1	6	7	took	O	O	O	O	O
1	6	8	a	O	O	O	O	O
1	6	9	lovely	O	O	O	O	O
1	6	10	train	O	O	O	B-event	O
1	6	11	ride	O	O	O	I-event	O
1	6	12	to	O	O	O	O	O
1	6	13	visit	O	O	O	O	O
1	6	14	my	O	O	O	B-participants	O
1	6	15	grandkids	O	O	O	I-participants	O
1	6	16	.	O	O	O	O	O
1	7	1	Sounds	O	O	O	O	O
1	7	2	like	O	O	O	O	O
1	7	3	a	O	O	O	O	O
1	7	4	lovely	O	O	O	O	O
1	7	5	trip	O	O	O	O	O
1	7	6	!	O	O	O	O	O
1	7	7	Did	O	O	O	O	O
1	7	8	you	O	O	O	O	O
1	7	9	have	O	O	O	O	O
1	7	10	easy	O	O	O	O	O
1	7	11	access	O	O	O	O	O
1	7	12	to	O	O	O	O	O
1	7	13	the	O	O	O	O	O
1	7	14	train	O	O	O	O	O
1	7	15	stations	O	O	O	O	O
1	7	16	?	O	O	O	O	O
1	8	1	Yes	O	O	O	O	O
1	8	2	,	O	O	O	O	O
1	8	3	the	O	O	O	O	O
1	8	4	stations	O	O	O	O	O
1	8	5	were	O	O	O	O	O
1	8	6	well	O	O	O	O	O
1	8	7	-	O	O	O	O	O
1	8	8	equipped	O	O	O	O	O
1	8	9	with	O	O	O	O	O
1	8	10	ramps	O	O	O	O	O
1	8	11	and	O	O	O	O	O
1	8	12	elevators	O	O	O	O	O
1	8	13	.	O	O	O	O	O
1	9	1	That	O	O	O	O	O
1	9	2	's	O	O	O	O	O
1	9	3	great	O	O	O	O	O
1	9	4	to	O	O	O	O	O
1	9	5	hear	O	O	O	O	O
1	9	6	!	O	O	O	O	O
1	9	7	How	O	O	O	O	O
