conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7
1	1	1	How	O	O	O	O	O		
1	1	2	's	O	O	O	O	O		
1	1	3	your	O	O	O	O	O		
1	1	4	day	O	O	O	O	O		
1	1	5	going	O	O	O	O	O		
1	1	6	so	O	O	O	O	O		
1	1	7	far	O	O	O	O	O		
1	1	8	,	O	O	O	O	O		
1	1	9	Patricia	O	O	O	O	O		
1	1	10	?	O	O	O	O	O		
1	2	1	Well	O	O	O	O	O		
1	2	2	,	O	O	O	O	O		
1	2	3	not	O	O	O	O	O		
1	2	4	too	O	O	O	O	O		
1	2	5	bad	O	O	O	O	O		
1	2	6	.	O	O	O	O	O		
1	2	7	Just	O	O	O	O	O		
1	2	8	finished	O	O	O	O	O		
1	2	9	taking	B-event	O	O	O	O		
1	2	10	a	I-event	O	O	O	O		
1	2	11	relaxing	I-event	O	O	O	O		
1	2	12	shower	I-event	O	O	O	O		
1	2	13	this	B-time	O	O	O	O		
1	2	14	morning	I-time	O	O	O	O		
1	2	15	.	O	O	O	O	O		
1	3	1	Ah	O	O	O	O	O		
1	3	2	,	O	O	O	O	O		
1	3	3	that	O	O	O	O	O		
1	3	4	sounds	O	O	O	O	O		
1	3	5	nice	O	O	O	O	O		
1	3	6	.	O	O	O	O	O		
1	3	7	When	O	O	O	O	O		
1	3	8	do	O	O	O	O	O		
1	3	9	you	O	O	O	O	O		
1	3	10	usually	O	O	O	O	O		
1	3	11	do	O	O	O	O	O		
1	3	12	your	O	O	O	O	O		
1	3	13	daily	O	O	O	O	O		
1	3	14	shower	O	O	O	O	O		
1	3	15	?	O	O	O	O	O		
1	4	1	I	O	O	O	O	O		
1	4	2	like	O	O	O	O	O		
1	4	3	to	O	O	O	O	O		
1	4	4	shower	O	O	O	O	O		
1	4	5	in	O	O	O	O	O		
1	4	6	the	O	O	O	O	O		
1	4	7	mornings	O	O	O	O	O		
1	4	8	to	O	O	O	O	O		
1	4	9	start	O	O	O	O	O		
1	4	10	the	O	O	O	O	O		
1	4	11	day	O	O	O	O	O		
1	4	12	fresh	O	O	O	O	O		
1	4	13	.	O	O	O	O	O		
1	5	1	That	O	O	O	O	O		
1	5	2	's	O	O	O	O	O		
1	5	3	a	O	O	O	O	O		
1	5	4	great	O	O	O	O	O		
1	5	5	routine	O	O	O	O	O		
1	5	6	to	O	O	O	O	O		
1	5	7	have	O	O	O	O	O		
1	5	8	.	O	O	O	O	O		
1	5	9	Do	O	O	O	O	O		
1	5	10	you	O	O	O	O	O		
1	5	11	prefer	O	O	O	O	O		
1	5	12	long	O	O	O	O	O		
1	5	13	or	O	O	O	O	O		
1	5	14	quick	O	O	O	O	O		
1	5	15	showers	O	O	O	O	O		
1	5	16	?	O	O	O	O	O		
1	6	1	I	O	O	O	O	O		
1	6	2	usually	O	O	O	O	O		
1	6	3	keep	O	O	O	O	O		
1	6	4	it	O	O	O	O	O		
1	6	5	quick	O	O	O	O	O		
1	6	6	to	O	O	O	O	O		
1	6	7	save	O	O	O	O	O		
1	6	8	water	O	O	O	O	O		
1	6	9	,	O	O	O	O	O		
1	6	10	around	O	O	O	O	O		
1	6	11	10	O	O	O	O	O		
1	6	12	-	O	O	O	O	O		
1	6	13	15	O	O	O	O	O		
1	6	14	minutes	O	O	O	O	O		
1	6	15	.	O	O	O	O	O		
1	7	1	That	O	O	O	O	O		
1	7	2	's	O	O	O	O	O		
1	7	3	considerate	O	O	O	O	O		
1	7	4	of	O	O	O	O	O		
1	7	5	you	O	O	O	O	O		
1	7	6	.	O	O	O	O	O		
1	7	7	Do	O	O	O	O	O		
1	7	8	you	O	O	O	O	O		
1	7	9	find	O	O	O	O	O		
1	7	10	your	O	O	O	O	O		
1	7	11	morning	O	O	O	O	O		
1	7	12	shower	O	O	O	O	O		
1	7	13	helps	O	O	O	O	O		
1	7	14	you	O	O	O	O	O		
1	7	15	feel	O	O	O	O	O		
1	7	16	more	O	O	O	O	O		
1	7	17	awake	O	O	O	O	O		
1	7	18	?	O	O	O	O	O		
1	8	1	Yes	O	O	O	O	O		
1	8	2	,	O	O	O	O	O		
1	8	3	the	O	O	O	O	O		
1	8	4	shower	O	O	O	O	O		
1	8	5	helps	O	O	O	O	O		
1	8	6	me	O	O	O	O	O		
1	8	7	wake	O	O	O	O	O		
1	8	8	up	O	O	O	O	O		
1	8	9	and	O	O	O	O	O		
1	8	10	feel	O	O	O	O	O		
1	8	11	ready	O	O	O	O	O		
1	8	12	for	O	O	O	O	O		
1	8	13	the	O	O	O	O	O		
1	8	14	day	O	O	O	O	O		
1	8	15	.	O	O	O	O	O		
2	1	1	When	O	O	O	O	O		
2	1	2	do	O	O	O	O	O		
2	1	3	you	O	O	O	O	O		
2	1	4	usually	O	O	O	O	O		
2	1	5	take	B-event	O	O	O	O		
2	1	6	a	I-event	O	O	O	O		
2	1	7	shower	I-event	O	O	O	O		
2	1	8	?	O	O	O	O	O		
2	2	1	In	B-time	O	O	O	O		
2	2	2	the	I-time	O	O	O	O		
2	2	3	morning	I-time	O	O	O	O		
2	2	4	,	I-time	O	O	O	O		
2	2	5	right	I-time	O	O	O	O		
2	2	6	after	I-time	O	O	O	O		
2	2	7	breakfast	I-time	O	O	O	O		
2	2	8	.	I-time	O	O	O	O		
2	3	1	And	O	O	O	O	O		
2	3	2	how	O	O	O	O	O		
2	3	3	about	O	O	O	O	O		
2	3	4	washing	O	B-event	O	O	O		
2	3	5	your	O	I-event	O	O	O		
2	3	6	face	O	I-event	O	O	O		
2	3	7	and	O	I-event	O	O	O		
2	3	8	hands	O	I-event	O	O	O		
2	3	9	?	O	O	O	O	O		
2	4	1	I	O	O	O	O	O		
2	4	2	do	O	O	O	O	O		
2	4	3	that	O	O	O	O	O		
2	4	4	before	O	B-time	O	O	O		
2	4	5	I	O	I-time	O	O	O		
2	4	6	go	O	I-time	O	O	O		
2	4	7	to	O	I-time	O	O	O		
2	4	8	bed	O	I-time	O	O	O		
2	4	9	every	O	I-time	O	O	O		
2	4	10	night	O	I-time	O	O	O		
2	4	11	.	O	I-time	O	O	O		
2	5	1	Do	O	O	O	O	O		
2	5	2	you	O	O	O	O	O		
2	5	3	typically	O	O	O	O	O		
2	5	4	wash	O	O	O	O	O		
2	5	5	your	O	O	O	O	O		
2	5	6	feet	O	O	O	O	O		
2	5	7	as	O	O	O	O	O		
2	5	8	well	O	O	O	O	O		
2	5	9	?	O	O	O	O	O		
2	6	1	Yes	O	O	O	O	O		
2	6	2	,	O	O	O	O	O		
2	6	3	I	O	O	O	O	O		
2	6	4	make	O	O	O	O	O		
2	6	5	sure	O	O	O	O	O		
2	6	6	to	O	O	O	O	O		
2	6	7	wash	O	O	B-event	O	O		
2	6	8	and	O	O	I-event	O	O		
2	6	9	dry	O	O	I-event	O	O		
2	6	10	them	O	O	I-event	O	O		
2	6	11	every	O	O	B-time	O	O		
2	6	12	day	O	O	I-time	O	O		
2	6	13	.	O	O	I-time	O	O		
2	7	1	What	O	O	O	O	O		
2	7	2	about	O	O	O	O	O		
2	7	3	washing	O	O	O	O	O		
2	7	4	your	O	O	O	O	O		
2	7	5	hair	O	O	O	O	O		
2	7	6	?	O	O	O	O	O		
2	8	1	I	O	O	O	O	O		
2	8	2	wash	O	O	O	B-event	O		
2	8	3	my	O	O	O	I-event	O		
2	8	4	hair	O	O	O	I-event	O		
2	8	5	twice	O	O	O	I-event	O		
2	8	6	a	O	O	O	I-time	O		
2	8	7	week	O	O	O	I-time	O		
2	8	8	when	O	O	O	I-time	O		
2	8	9	I	O	O	O	I-time	O		
2	8	10	take	O	O	O	I-time	O		
2	8	11	a	O	O	O	I-time	O		
2	8	12	shower	O	O	O	I-time	O		
2	8	13	.	O	O	O	I-time	O		
2	9	1	That	O	O	O	O	O		
2	9	2	sounds	O	O	O	O	O		
2	9	3	like	O	O	O	O	O		
2	9	4	a	O	O	O	O	O		
2	9	5	good	O	O	O	O	O		
2	9	6	self	O	O	O	O	O		
2	9	7	-	O	O	O	O	O		
2	9	8	care	O	O	O	O	O		
2	9	9	routine	O	O	O	O	O		
2	9	10	you	O	O	O	O	O		
2	9	11	have	O	O	O	O	O		
2	9	12	there	O	O	O	O	O		
2	9	13	!	O	O	O	O	O		
3	1	1	When	O	O	O	O	O		
3	1	2	do	O	O	O	O	O		
3	1	3	you	O	O	O	O	O		
3	1	4	normally	O	O	O	O	O		
3	1	5	wash	B-event	O	O	O	O		
3	1	6	your	O	O	O	O	O		
3	1	7	face	I-event	O	O	O	O		
3	1	8	?	O	O	O	O	O		
3	2	1	I	O	O	O	O	O		
3	2	2	wash	O	O	O	O	O		
3	2	3	my	O	O	O	O	O		
3	2	4	face	O	O	O	O	O		
3	2	5	every	O	O	O	O	O		
3	2	6	morning	B-time	O	O	O	O		
3	2	7	and	O	O	O	O	O		
3	2	8	before	O	O	O	O	O		
3	2	9	bedtime	I-time	O	O	O	O		
3	2	10	.	O	O	O	O	O		
3	3	1	That	O	O	O	O	O		
3	3	2	sounds	O	O	O	O	O		
3	3	3	like	O	O	O	O	O		
3	3	4	a	O	O	O	O	O		
3	3	5	good	O	O	O	O	O		
3	3	6	routine	O	O	O	O	O		
3	3	7	.	O	O	O	O	O		
3	3	8	How	O	O	O	O	O		
3	3	9	about	O	O	O	O	O		
3	3	10	washing	O	B-event	O	O	O		
3	3	11	your	O	O	O	O	O		
3	3	12	hair	O	I-event	O	O	O		
3	3	13	?	O	O	O	O	O		
3	4	1	I	O	O	O	O	O		
3	4	2	usually	O	O	O	O	O		
3	4	3	wash	O	O	O	O	O		
3	4	4	my	O	O	O	O	O		
3	4	5	hair	O	O	O	O	O		
3	4	6	twice	O	B-time	O	O	O		
3	4	7	a	O	O	O	O	O		
3	4	8	week	O	O	O	O	O		
3	4	9	,	O	O	O	O	O		
3	4	10	on	O	O	O	O	O		
3	4	11	Sundays	O	O	O	O	O		
3	4	12	and	O	O	O	O	O		
3	4	13	Wednesdays	O	I-time	O	O	O		
3	4	14	.	O	O	O	O	O		
3	5	1	Nice	O	O	O	O	O		
3	5	2	,	O	O	O	O	O		
3	5	3	and	O	O	O	O	O		
3	5	4	how	O	O	O	O	O		
3	5	5	do	O	O	O	O	O		
3	5	6	you	O	O	O	O	O		
3	5	7	dry	O	O	O	O	O		
3	5	8	your	O	O	O	O	O		
3	5	9	body	O	O	O	O	O		
3	5	10	after	O	O	O	O	O		
3	5	11	bathing	O	O	O	O	O		
3	5	12	?	O	O	O	O	O		
3	6	1	I	O	O	O	O	O		
3	6	2	use	O	O	O	O	O		
3	6	3	a	O	O	O	O	O		
3	6	4	soft	O	O	O	O	O		
3	6	5	towel	O	O	O	O	O		
3	6	6	to	O	O	O	O	O		
3	6	7	gently	O	O	O	O	O		
3	6	8	dry	O	O	O	O	O		
3	6	9	myself	O	O	O	O	O		
3	6	10	and	O	O	O	O	O		
