conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7	event8
1	1	1	When	O	O	O	O	O			
1	1	2	do	O	O	O	O	O			
1	1	3	you	O	O	O	O	O			
1	1	4	usually	O	O	O	O	O			
1	1	5	do	O	O	O	O	O			
1	1	6	your	O	O	O	O	O			
1	1	7	skincare	B-event	O	O	O	O			
1	1	8	routine	I-event	O	O	O	O			
1	1	9	?	O	O	O	O	O			
1	2	1	I	O	O	O	O	O			
1	2	2	do	O	O	O	O	O			
1	2	3	it	O	O	O	O	O			
1	2	4	every	B-time	O	O	O	O			
1	2	5	morning	I-time	O	O	O	O			
1	2	6	after	I-time	O	O	O	O			
1	2	7	waking	I-time	O	O	O	O			
1	2	8	up	I-time	O	O	O	O			
1	2	9	and	I-time	O	O	O	O			
1	2	10	every	I-time	O	O	O	O			
1	2	11	night	I-time	O	O	O	O			
1	2	12	before	I-time	O	O	O	O			
1	2	13	sleeping	I-time	O	O	O	O			
1	2	14	.	O	O	O	O	O			
1	3	1	How	O	O	O	O	O			
1	3	2	about	O	O	O	O	O			
1	3	3	cutting	O	O	O	O	O			
1	3	4	your	O	O	O	O	O			
1	3	5	nails	O	O	O	O	O			
1	3	6	,	O	O	O	O	O			
1	3	7	when	O	O	O	O	O			
1	3	8	do	O	O	O	O	O			
1	3	9	you	O	O	O	O	O			
1	3	10	usually	O	O	O	O	O			
1	3	11	do	O	O	O	O	O			
1	3	12	that	O	O	O	O	O			
1	3	13	?	O	O	O	O	O			
1	4	1	I	O	O	O	O	O			
1	4	2	cut	O	B-event	O	O	O			
1	4	3	my	O	I-event	O	O	O			
1	4	4	nails	O	I-event	O	O	O			
1	4	5	usually	O	O	O	O	O			
1	4	6	in	O	B-time	O	O	O			
1	4	7	the	O	I-time	O	O	O			
1	4	8	evening	O	I-time	O	O	O			
1	4	9	every	O	I-time	O	O	O			
1	4	10	2	O	I-time	O	O	O			
1	4	11	weeks	O	I-time	O	O	O			
1	4	12	.	O	O	O	O	O			
1	5	1	What	O	O	O	O	O			
1	5	2	about	O	O	O	O	O			
1	5	3	brushing	O	O	O	O	O			
1	5	4	your	O	O	O	O	O			
1	5	5	teeth	O	O	O	O	O			
1	5	6	;	O	O	O	O	O			
1	5	7	how	O	O	O	O	O			
1	5	8	often	O	O	O	O	O			
1	5	9	do	O	O	O	O	O			
1	5	10	you	O	O	O	O	O			
1	5	11	do	O	O	O	O	O			
1	5	12	that	O	O	O	O	O			
1	5	13	?	O	O	O	O	O			
1	6	1	I	O	O	O	O	O			
1	6	2	brush	O	O	B-event	O	O			
1	6	3	my	O	O	I-event	O	O			
1	6	4	teeth	O	O	I-event	O	O			
1	6	5	twice	O	O	B-time	O	O			
1	6	6	a	O	O	I-time	O	O			
1	6	7	day	O	O	I-time	O	O			
1	6	8	after	O	O	I-time	O	O			
1	6	9	breakfast	O	O	I-time	O	O			
1	6	10	and	O	O	I-time	O	O			
1	6	11	before	O	O	I-time	O	O			
1	6	12	going	O	O	I-time	O	O			
1	6	13	to	O	O	I-time	O	O			
1	6	14	bed	O	O	I-time	O	O			
1	6	15	.	O	O	O	O	O			
1	7	1	That	O	O	O	O	O			
1	7	2	's	O	O	O	O	O			
1	7	3	great	O	O	O	O	O			
1	7	4	.	O	O	O	O	O			
1	7	5	How	O	O	O	O	O			
1	7	6	do	O	O	O	O	O			
1	7	7	you	O	O	O	O	O			
1	7	8	take	O	O	O	O	O			
1	7	9	care	O	O	O	O	O			
1	7	10	of	O	O	O	O	O			
1	7	11	your	O	O	O	O	O			
1	7	12	genitals	O	O	O	O	O			
1	7	13	?	O	O	O	O	O			
1	8	1	I	O	O	O	O	O			
1	8	2	take	O	O	O	B-event	O			
1	8	3	care	O	O	O	I-event	O			
1	8	4	of	O	O	O	I-event	O			
1	8	5	my	O	O	O	I-event	O			
1	8	6	genitals	O	O	O	I-event	O			
1	8	7	during	O	O	O	B-place	O			
1	8	8	my	O	O	O	I-place	O			
1	8	9	shower	O	O	O	I-place	O			
1	8	10	in	O	O	O	B-time	O			
1	8	11	the	O	O	O	I-time	O			
1	8	12	mornings	O	O	O	I-time	O			
1	8	13	.	O	O	O	O	O			
1	9	1	It	O	O	O	O	O			
1	9	2	sounds	O	O	O	O	O			
1	9	3	like	O	O	O	O	O			
1	9	4	you	O	O	O	O	O			
1	9	5	have	O	O	O	O	O			
1	9	6	a	O	O	O	O	O			
1	9	7	good	O	O	O	O	O			
1	9	8	self	O	O	O	O	O			
1	9	9	-	O	O	O	O	O			
1	9	10	care	O	O	O	O	O			
1	9	11	routine	O	O	O	O	O			
1	9	12	in	O	O	O	O	O			
1	9	13	place	O	O	O	O	O			
1	9	14	.	O	O	O	O	O			
1	9	15	Keep	O	O	O	O	O			
1	9	16	it	O	O	O	O	O			
1	9	17	up	O	O	O	O	O			
1	9	18	!	O	O	O	O	O			
2	1	1	How	O	O	O	O	O			
2	1	2	often	O	O	O	O	O			
2	1	3	do	O	O	O	O	O			
2	1	4	you	O	O	O	O	O			
2	1	5	make	O	O	O	O	O			
2	1	6	time	O	O	O	O	O			
2	1	7	for	O	O	O	O	O			
2	1	8	skincare	B-event	O	O	O	O			
2	1	9	routine	I-event	O	O	O	O			
2	1	10	?	O	O	O	O	O			
2	2	1	I	O	O	O	O	O			
2	2	2	try	O	O	O	O	O			
2	2	3	to	O	O	O	O	O			
2	2	4	do	O	O	O	O	O			
2	2	5	it	O	O	O	O	O			
2	2	6	every	B-time	O	O	O	O			
2	2	7	morning	I-time	O	O	O	O			
2	2	8	and	I-time	O	O	O	O			
2	2	9	before	I-time	O	O	O	O			
2	2	10	bed	I-time	O	O	O	O			
2	2	11	.	O	O	O	O	O			
2	3	1	That	O	O	O	O	O			
2	3	2	sounds	O	O	O	O	O			
2	3	3	great	O	O	O	O	O			
2	3	4	!	O	O	O	O	O			
2	3	5	How	O	O	O	O	O			
2	3	6	about	O	O	O	O	O			
2	3	7	brushing	O	B-event	O	O	O			
2	3	8	your	O	I-event	O	O	O			
2	3	9	teeth	O	I-event	O	O	O			
2	3	10	?	O	O	O	O	O			
2	4	1	Oh	O	O	O	O	O			
2	4	2	,	O	O	O	O	O			
2	4	3	I	O	O	O	O	O			
2	4	4	brush	O	O	O	O	O			
2	4	5	them	O	O	O	O	O			
2	4	6	after	O	B-time	O	O	O			
2	4	7	every	O	I-time	O	O	O			
2	4	8	meal	O	I-time	O	O	O			
2	4	9	.	O	O	O	O	O			
2	5	1	How	O	O	O	O	O			
2	5	2	do	O	O	O	O	O			
2	5	3	you	O	O	O	O	O			
2	5	4	ensure	O	O	O	O	O			
2	5	5	you	O	O	O	O	O			
2	5	6	stick	O	O	O	O	O			
2	5	7	to	O	O	O	O	O			
2	5	8	that	O	O	O	O	O			
2	5	9	routine	O	O	O	O	O			
2	5	10	?	O	O	O	O	O			
2	6	1	I	O	O	O	O	O			
2	6	2	set	O	O	O	O	O			
2	6	3	reminders	O	O	O	O	O			
2	6	4	on	O	O	O	O	O			
2	6	5	my	O	O	O	O	O			
2	6	6	phone	O	O	O	O	O			
2	6	7	.	O	O	O	O	O			
2	7	1	Nice	O	O	O	O	O			
2	7	2	!	O	O	O	O	O			
2	7	3	What	O	O	O	O	O			
2	7	4	about	O	O	O	O	O			
2	7	5	cutting	O	O	B-event	O	O			
2	7	6	nails	O	O	I-event	O	O			
2	7	7	and	O	O	O	O	O			
2	7	8	genital	O	O	O	B-event	O			
2	7	9	care	O	O	O	I-event	O			
2	7	10	?	O	O	O	O	O			
2	8	1	I	O	O	O	O	O			
2	8	2	trim	O	O	O	O	O			
2	8	3	my	O	O	O	O	O			
2	8	4	nails	O	O	O	O	O			
2	8	5	on	O	O	B-time	O	O			
2	8	6	Sundays	O	O	I-time	O	O			
2	8	7	and	O	O	O	O	O			
2	8	8	genital	O	O	O	O	O			
2	8	9	care	O	O	O	O	O			
2	8	10	happens	O	O	O	O	O			
2	8	11	during	O	O	O	B-time	O			
