conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6
1	1	1	How	O	O	O	O	O	
1	1	2	do	O	O	O	O	O	
1	1	3	you	O	O	O	O	O	
1	1	4	usually	O	O	O	O	O	
1	1	5	go	O	O	O	O	O	
1	1	6	about	O	O	O	O	O	
1	1	7	putting	B-event	O	O	O	O	
1	1	8	on	I-event	O	O	O	O	
1	1	9	your	I-event	O	O	O	O	
1	1	10	clothes	I-event	O	O	O	O	
1	1	11	in	B-time	O	O	O	O	
1	1	12	the	I-time	O	O	O	O	
1	1	13	morning	I-time	O	O	O	O	
1	1	14	?	O	O	O	O	O	
1	2	1	I	O	O	O	O	O	
1	2	2	lay	O	B-event	O	O	O	
1	2	3	my	O	I-event	O	O	O	
1	2	4	clothes	O	I-event	O	O	O	
1	2	5	out	O	I-event	O	O	O	
1	2	6	the	O	B-time	O	O	O	
1	2	7	night	O	I-time	O	O	O	
1	2	8	before	O	I-time	O	O	O	
1	2	9	,	O	O	O	O	O	
1	2	10	helps	O	O	O	O	O	
1	2	11	me	O	O	O	O	O	
1	2	12	dress	O	O	O	O	O	
1	2	13	easily	O	O	O	O	O	
1	2	14	in	O	O	O	O	O	
1	2	15	the	O	O	O	O	O	
1	2	16	morning	O	O	O	O	O	
1	2	17	.	O	O	O	O	O	
1	3	1	What	O	O	O	O	O	
1	3	2	's	O	O	O	O	O	
1	3	3	your	O	O	O	O	O	
1	3	4	routine	O	O	O	O	O	
1	3	5	like	O	O	O	O	O	
1	3	6	for	O	O	O	O	O	
1	3	7	taking	O	O	B-event	O	O	
1	3	8	off	O	O	I-event	O	O	
1	3	9	your	O	O	I-event	O	O	
1	3	10	clothes	O	O	I-event	O	O	
1	3	11	in	O	O	B-time	O	O	
1	3	12	the	O	O	I-time	O	O	
1	3	13	evening	O	O	I-time	O	O	
1	3	14	?	O	O	O	O	O	
1	4	1	I	O	O	O	O	O	
1	4	2	undress	O	O	O	B-event	O	
1	4	3	before	O	O	O	B-time	O	
1	4	4	sitting	O	O	O	I-time	O	
1	4	5	down	O	O	O	I-time	O	
1	4	6	and	O	O	O	I-time	O	
1	4	7	relaxing	O	O	O	I-time	O	
1	4	8	for	O	O	O	I-time	O	
1	4	9	the	O	O	O	I-time	O	
1	4	10	rest	O	O	O	I-time	O	
1	4	11	of	O	O	O	I-time	O	
1	4	12	the	O	O	O	I-time	O	
1	4	13	night	O	O	O	I-time	O	
1	4	14	.	O	O	O	I-time	O	
1	5	1	Do	O	O	O	O	O	
1	5	2	you	O	O	O	O	O	
1	5	3	have	O	O	O	O	O	
1	5	4	your	O	O	O	O	O	
1	5	5	own	O	O	O	O	O	
1	5	6	way	O	O	O	O	O	
