conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7	event8	event9
1	1	1	When	O	O	O	O	O				
1	1	2	do	O	O	O	O	O				
1	1	3	you	O	O	O	O	O				
1	1	4	usually	O	O	O	O	O				
1	1	5	have	O	O	O	O	O				
1	1	6	your	O	O	O	O	O				
1	1	7	meals	O	O	O	O	O				
1	1	8	?	O	O	O	O	O				
1	2	1	I	O	O	O	O	O				
1	2	2	have	O	O	O	O	O				
1	2	3	breakfast	B-event	O	O	O	O				
1	2	4	around	I-event	O	O	O	O				
1	2	5	8	I-time	O	O	O	O				
1	2	6	am	I-time	O	O	O	O				
1	2	7	,	O	O	O	O	O				
1	2	8	lunch	O	B-event	O	O	O				
1	2	9	at	O	I-event	O	O	O				
1	2	10	12	O	I-time	O	O	O				
1	2	11	pm	O	I-time	O	O	O				
1	2	12	,	O	O	O	O	O				
1	2	13	and	O	O	O	O	O				
1	2	14	dinner	O	O	B-event	O	O				
1	2	15	by	O	O	I-event	O	O				
1	2	16	6	O	O	I-time	O	O				
1	2	17	pm	O	O	I-time	O	O				
1	2	18	.	O	O	O	O	O				
1	3	1	How	O	O	O	O	O				
1	3	2	do	O	O	O	O	O				
1	3	3	you	O	O	O	O	O				
1	3	4	usually	O	O	O	O	O				
1	3	5	open	O	O	O	O	O				
1	3	6	your	O	O	O	O	O				
1	3	7	bottles	O	O	O	O	O				
1	3	8	?	O	O	O	O	O				
1	4	1	I	O	O	O	O	O				
1	4	2	find	O	O	O	O	O				
1	4	3	it	O	O	O	O	O				
1	4	4	easier	O	O	O	O	O				
1	4	5	to	O	O	O	O	O				
1	4	6	use	O	O	O	O	O				
1	4	7	a	O	O	O	O	O				
1	4	8	jar	O	O	O	O	O				
1	4	9	opener	O	O	O	O	O				
1	4	10	to	O	O	O	O	O				
1	4	11	open	O	O	O	O	O				
1	4	12	bottles	O	O	O	O	O				
1	4	13	.	O	O	O	O	O				
1	5	1	Do	O	O	O	O	O				
1	5	2	you	O	O	O	O	O				
1	5	3	need	O	O	O	O	O				
1	5	4	help	O	O	O	O	O				
1	5	5	pouring	O	O	O	O	O				
1	5	6	liquids	O	O	O	O	O				
1	5	7	?	O	O	O	O	O				
1	6	1	Not	O	O	O	O	O				
1	6	2	really	O	O	O	O	O				
1	6	3	,	O	O	O	O	O				
1	6	4	I	O	O	O	O	O				
1	6	5	hold	O	O	O	O	O				
1	6	6	a	O	O	O	O	O				
1	6	7	cup	O	O	O	O	O				
1	6	8	with	O	O	O	O	O				
1	6	9	both	O	O	O	O	O				
1	6	10	hands	O	O	O	O	O				
1	6	11	to	O	O	O	O	O				
1	6	12	pour	O	O	O	O	O				
1	6	13	liquids	O	O	O	O	O				
1	6	14	safely	O	O	O	O	O				
1	6	15	.	O	O	O	O	O				
1	7	1	How	O	O	O	O	O				
1	7	2	do	O	O	O	O	O				
1	7	3	you	O	O	O	O	O				
1	7	4	manage	O	O	O	O	O				
1	7	5	drinking	O	O	O	O	O				
1	7	6	with	O	O	O	O	O				
1	7	7	a	O	O	O	O	O				
1	7	8	straw	O	O	O	O	O				
1	7	9	?	O	O	O	O	O				
1	8	1	I	O	O	O	O	O				
1	8	2	prefer	O	O	O	O	O				
1	8	3	using	O	O	O	O	O				
1	8	4	a	O	O	O	O	O				
1	8	5	cup	O	O	O	O	O				
1	8	6	with	O	O	O	O	O				
1	8	7	a	O	O	O	O	O				
1	8	8	lid	O	O	O	O	O				
1	8	9	and	O	O	O	O	O				
1	8	10	a	O	O	O	O	O				
1	8	11	straw	O	O	O	O	O				
1	8	12	for	O	O	O	O	O				
1	8	13	easy	O	O	O	O	O				
1	8	14	sipping	O	O	O	O	O				
1	8	15	.	O	O	O	O	O				
1	9	1	Do	O	O	O	O	O				
1	9	2	you	O	O	O	O	O				
1	9	3	often	O	O	O	O	O				
1	9	4	stir	O	O	O	O	O				
1	9	5	your	O	O	O	O	O				
1	9	6	drinks	O	O	O	O	O				
1	9	7	?	O	O	O	O	O				
1	10	1	Yes	O	O	O	O	O				
1	10	2	,	O	O	O	O	O				
1	10	3	I	O	O	O	O	O				
1	10	4	stir	O	O	O	O	O				
1	10	5	my	O	O	O	O	O				
1	10	6	teas	O	O	O	O	O				
1	10	7	and	O	O	O	O	O				
1	10	8	coffees	O	O	O	O	O				
1	10	9	to	O	O	O	O	O				
1	10	10	blend	O	O	O	O	O				
1	10	11	the	O	O	O	O	O				
1	10	12	flavors	O	O	O	O	O				
1	10	13	just	O	O	O	O	O				
1	10	14	right	O	O	O	O	O				
1	10	15	.	O	O	O	O	O				
1	11	1	How	O	O	O	O	O				
1	11	2	do	O	O	O	O	O				
1	11	3	you	O	O	O	O	O				
1	11	4	ensure	O	O	O	O	O				
1	11	5	you	O	O	O	O	O				
1	11	6	keep	O	O	O	O	O				
1	11	7	yourself	O	O	O	O	O				
1	11	8	hydrated	O	O	O	O	O				
2	1	1	How	O	O	O	O	O				
2	1	2	have	O	O	O	O	O				
2	1	3	you	O	O	O	O	O				
2	1	4	been	O	O	O	O	O				
2	1	5	taking	O	O	O	O	O				
2	1	6	care	O	O	O	O	O				
2	1	7	of	O	O	O	O	O				
2	1	8	yourself	O	O	O	O	O				
2	1	9	lately	O	O	O	O	O				
2	1	10	?	O	O	O	O	O				
2	2	1	I	O	O	O	O	O				
2	2	2	've	O	O	O	O	O				
2	2	3	been	O	O	O	O	O				
2	2	4	making	O	O	O	O	O				
2	2	5	sure	O	O	O	O	O				
2	2	6	to	O	O	O	O	O				
2	2	7	eat	B-event	O	O	O	O				
2	2	8	well	I-event	O	O	O	O				
2	2	9	every	B-time	O	O	O	O				
2	2	10	day	I-time	O	O	O	O				
2	2	11	.	O	O	O	O	O				
2	3	1	That	O	O	O	O	O				
2	3	2	's	O	O	O	O	O				
2	3	3	great	O	O	O	O	O				
2	3	4	to	O	O	O	O	O				
2	3	5	hear	O	O	O	O	O				
2	3	6	!	O	O	O	O	O				
2	3	7	When	O	O	O	O	O				
2	3	8	do	O	O	O	O	O				
2	3	9	you	O	O	O	O	O				
2	3	10	usually	O	O	O	O	O				
2	3	11	have	O	O	O	O	O				
2	3	12	your	O	O	O	O	O				
2	3	13	meals	O	O	O	O	O				
2	3	14	?	O	O	O	O	O				
2	4	1	I	O	O	O	O	O				
2	4	2	have	O	O	O	O	O				
2	4	3	breakfast	O	B-event	O	O	O				
2	4	4	around	O	I-event	O	O	O				
2	4	5	8	O	I-event	O	O	O				
2	4	6	a.m.	O	I-event	O	O	O				
2	4	7	,	O	O	O	O	O				
2	4	8	lunch	O	O	B-event	O	O				
2	4	9	at	O	O	I-event	O	O				
2	4	10	noon	O	O	I-event	O	O				
2	4	11	,	O	O	O	O	O				
2	4	12	and	O	O	O	O	O				
2	4	13	dinner	O	O	O	B-event	O				
2	4	14	at	O	O	O	I-event	O				
2	4	15	6	O	O	O	I-event	O				
2	4	16	p.m.	O	O	O	I-event	O				
2	5	1	Do	O	O	O	O	O				
2	5	2	you	O	O	O	O	O				
2	5	3	prepare	O	O	O	O	O				
2	5	4	your	O	O	O	O	O				
2	5	5	own	O	O	O	O	O				
2	5	6	meals	O	O	O	O	O				
2	5	7	or	O	O	O	O	O				
2	5	8	have	O	O	O	O	O				
2	5	9	someone	O	O	O	O	O				
2	5	10	cook	O	O	O	O	O				
2	5	11	for	O	O	O	O	O				
2	5	12	you	O	O	O	O	O				
2	5	13	?	O	O	O	O	O				
2	6	1	I	O	O	O	O	O				
2	6	2	prefer	O	O	O	O	O				
2	6	3	to	O	O	O	O	O				
2	6	4	cook	O	O	O	O	B-event				
2	6	5	for	O	O	O	O	I-event				
2	6	6	myself	O	O	O	O	I-event				
2	6	7	.	O	O	O	O	O				
2	6	8	Makes	O	O	O	O	O				
2	6	9	me	O	O	O	O	O				
2	6	10	feel	O	O	O	O	O				
2	6	11	independent	O	O	O	O	O				
2	6	12	.	O	O	O	O	O				
2	7	1	That	O	O	O	O	O				
