conversation	sent_id	token_id	token
1	1	1	When
1	1	2	do
1	1	3	you
1	1	4	usually
1	1	5	go
1	1	6	for
1	1	7	a
1	1	8	walk
1	1	9	each
1	1	10	day
1	1	11	?
			
1	2	1	I
1	2	2	usually
1	2	3	go
1	2	4	for
1	2	5	a
1	2	6	walk
1	2	7	in
1	2	8	the
1	2	9	park
1	2	10	every
1	2	11	morning
1	2	12	.
			
1	3	1	Oh
1	3	2	,
1	3	3	that
1	3	4	sounds
1	3	5	nice
1	3	6	.
1	3	7	How
1	3	8	do
1	3	9	you
1	3	10	feel
1	3	11	during
1	3	12	your
1	3	13	walks
1	3	14	?
			
1	4	1	I
1	4	2	feel
1	4	3	energized
1	4	4	and
1	4	5	refreshed
1	4	6	after
1	4	7	walking
1	4	8	for
1	4	9	some
1	4	10	time
1	4	11	.
			
1	5	1	It
1	5	2	's
1	5	3	good
1	5	4	that
1	5	5	you
1	5	6	stay
1	5	7	active
1	5	8	.
1	5	9	Do
1	5	10	you
1	5	11	face
1	5	12	any
1	5	13	challenges
1	5	14	while
1	5	15	walking
1	5	16	in
1	5	17	the
1	5	18	park
1	5	19	?
			
1	6	1	Sometimes
1	6	2	I
1	6	3	find
1	6	4	it
1	6	5	tough
1	6	6	to
1	6	7	walk
1	6	8	up
1	6	9	the
1	6	10	hill
1	6	11	,
1	6	12	but
1	6	13	I
1	6	14	take
1	6	15	it
1	6	16	slow
1	6	17	.
			
1	7	1	Taking
1	7	2	it
1	7	3	slow
1	7	4	is
1	7	5	important
1	7	6	for
1	7	7	your
1	7	8	safety
1	7	9	.
1	7	10	Have
1	7	11	you
1	7	12	considered
1	7	13	using
1	7	14	a
1	7	15	walking
1	7	16	stick
1	7	17	for
1	7	18	support
1	7	19	?
			
1	8	1	I
1	8	2	have
1	8	3	one
1	8	4	,
1	8	5	but
1	8	6	I
1	8	7	prefer
1	8	8	not
1	8	9	using
1	8	10	it
1	8	11	unless
1	8	12	I
1	8	13	really
1	8	14	need
1	8	15	it
1	8	16	.
			
			
2	1	1	When
2	1	2	do
2	1	3	you
2	1	4	usually
2	1	5	go
2	1	6	for
2	1	7	a
2	1	8	walk
2	1	9	each
2	1	10	day
2	1	11	?
			
2	2	1	I
2	2	2	usually
2	2	3	go
2	2	4	for
2	2	5	a
2	2	6	walk
2	2	7	in
2	2	8	the
2	2	9	morning
2	2	10	after
2	2	11	breakfast
2	2	12	around
2	2	13	the
2	2	14	neighborhood
2	2	15	.
			
2	3	1	How
2	3	2	about
2	3	3	going
2	3	4	up
2	3	5	and
2	3	6	down
2	3	7	the
2	3	8	stairs
2	3	9	?
			
2	4	1	I
2	4	2	go
2	4	3	up
2	4	4	and
2	4	5	down
2	4	6	the
2	4	7	stairs
2	4	8	in
2	4	9	the
2	4	10	afternoon
2	4	11	to
2	4	12	do
2	4	13	laundry
2	4	14	in
2	4	15	the
2	4	16	basement
2	4	17	.
			
2	5	1	Do
2	5	2	you
2	5	3	find
2	5	4	stairs
2	5	5	challenging
2	5	6	?
			
2	6	1	Yes
2	6	2	,
2	6	3	I
2	6	4	find
2	6	5	descending
2	6	6	stairs
2	6	7	more
2	6	8	challenging
2	6	9	due
2	6	10	to
2	6	11	the
2	6	12	strain
2	6	13	on
2	6	14	my
2	6	15	knees
2	6	16	.
			
2	7	1	Have
2	7	2	you
2	7	3	tried
2	7	4	using
2	7	5	a
2	7	6	walker
2	7	7	for
2	7	8	help
2	7	9	?
			
2	8	1	Yes
2	8	2	,
2	8	3	I
2	8	4	use
2	8	5	a
2	8	6	walker
2	8	7	to
2	8	8	navigate
2	8	9	the
2	8	10	stairs
2	8	11	safely
2	8	12	and
2	8	13	smoothly
2	8	14	.
			
2	9	1	Do
2	9	2	you
2	9	3	enjoy
