conversation	sent_id	token_id	token
1	1	1	How
1	1	2	's
1	1	3	your
1	1	4	day
1	1	5	going
1	1	6	so
1	1	7	far
1	1	8	,
1	1	9	Patricia
1	1	10	?
			
1	2	1	Well
1	2	2	,
1	2	3	not
1	2	4	too
1	2	5	bad
1	2	6	.
1	2	7	Just
1	2	8	finished
1	2	9	taking
1	2	10	a
1	2	11	relaxing
1	2	12	shower
1	2	13	this
1	2	14	morning
1	2	15	.
			
1	3	1	Ah
1	3	2	,
1	3	3	that
1	3	4	sounds
1	3	5	nice
1	3	6	.
1	3	7	When
1	3	8	do
1	3	9	you
1	3	10	usually
1	3	11	do
1	3	12	your
1	3	13	daily
1	3	14	shower
1	3	15	?
			
1	4	1	I
1	4	2	like
1	4	3	to
1	4	4	shower
1	4	5	in
1	4	6	the
1	4	7	mornings
1	4	8	to
1	4	9	start
1	4	10	the
1	4	11	day
1	4	12	fresh
1	4	13	.
			
1	5	1	That
1	5	2	's
1	5	3	a
1	5	4	great
1	5	5	routine
1	5	6	to
1	5	7	have
1	5	8	.
1	5	9	Do
1	5	10	you
1	5	11	prefer
1	5	12	long
1	5	13	or
1	5	14	quick
1	5	15	showers
1	5	16	?
			
1	6	1	I
1	6	2	usually
1	6	3	keep
1	6	4	it
1	6	5	quick
1	6	6	to
1	6	7	save
1	6	8	water
1	6	9	,
1	6	10	around
1	6	11	10
1	6	12	-
1	6	13	15
1	6	14	minutes
1	6	15	.
			
1	7	1	That
1	7	2	's
1	7	3	considerate
1	7	4	of
1	7	5	you
1	7	6	.
1	7	7	Do
1	7	8	you
1	7	9	find
1	7	10	your
1	7	11	morning
1	7	12	shower
1	7	13	helps
1	7	14	you
1	7	15	feel
1	7	16	more
1	7	17	awake
1	7	18	?
			
1	8	1	Yes
1	8	2	,
1	8	3	the
1	8	4	shower
1	8	5	helps
1	8	6	me
1	8	7	wake
1	8	8	up
1	8	9	and
1	8	10	feel
1	8	11	ready
1	8	12	for
1	8	13	the
1	8	14	day
1	8	15	.
			
			
2	1	1	When
2	1	2	do
2	1	3	you
2	1	4	usually
2	1	5	take
2	1	6	a
2	1	7	shower
2	1	8	?
			
2	2	1	In
2	2	2	the
2	2	3	morning
2	2	4	,
2	2	5	right
2	2	6	after
2	2	7	breakfast
2	2	8	.
			
2	3	1	And
2	3	2	how
2	3	3	about
2	3	4	washing
2	3	5	your
2	3	6	face
2	3	7	and
2	3	8	hands
2	3	9	?
			
2	4	1	I
2	4	2	do
2	4	3	that
2	4	4	before
